id;name;width;height;lcd_content_group;created_date;description
1;ROI strategize;8315;81037;52319;Bike;Optimization Credit Card Account
2;core CSS;15348;43272;77440;Sleek Concrete Gloves;robust teal
3;Licensed Rubber Computer Saudi Riyal task-force;10832;91736;95981;primary Representative;International
4;Developer;12506;8673;97952;envisioneer;Uganda Shilling Turkey
5;pink;94144;49992;75956;web-enabled engineer Incredible;Berkshire web-enabled Rustic Wooden Hat
6;analyzer;82048;23335;83619;Sports generate 24/365;Granite solution-oriented
7;Jewelery Strategist scalable;41465;37138;1566;card Savings Account reboot;JSON Strategist Legacy
8;Marketing Networked;26269;87406;25369;Hawaii;Configuration mindshare Ergonomic Soft Shirt
9;Hong Kong Dollar Marketing;50972;32163;84929;Home Loan Account;Washington Tasty SDD
10;Nevada Knolls;60399;4920;84824;transmitting capacitor Auto Loan Account;value-added Intelligent
