id;name;pos_x;pos_y;width;height;index;is_fix;object_fit;media_id;link_data;jhi_on;off;type;content_id
1;Face to face Buckinghamshire payment;16312;72291;34151;17684;519;true;73657;17791;60255;97930;48134;Borders Games;54170
2;generating cyan Hat;61317;8737;61962;54742;1945;true;21188;80081;90808;68324;91743;Shore;82419
3;mint green copy Data;2400;89559;71775;82866;60819;false;84763;68805;62030;93355;75462;Mayotte payment;25904
4;Fresh JBOD collaborative;5625;19762;65551;93598;19085;false;30842;34013;61723;26534;83894;Shirt Baby;70511
5;Profound flexibility;77513;16427;79273;20832;13530;true;68282;95435;31605;87129;16268;Versatile Personal Loan Account Tasty;94455
6;bus empowering;61542;83592;4495;11366;90372;true;70329;17037;48860;7311;37390;Silver Small;36271
7;SQL Iraqi Dinar Shoes;76125;26838;55520;57153;18193;false;10194;5614;27236;47196;6550;redefine azure;41649
8;Maine;91679;7533;96076;51404;3446;true;40245;5700;22180;26479;27475;Fresh invoice;6027
9;Focused Associate Gorgeous Soft Ball;73666;35878;23714;97409;83276;true;16191;90204;79901;27344;31721;bandwidth;90474
10;synergies Ergonomic Plastic Pizza Integration;72337;91451;25482;14052;93217;false;16023;21574;14471;86738;93232;calculating Creative;17294
