id;name;pos_x;pos_y;width;height;index;is_fix;text;font_name;font_size;is_bold;is_italic;horizontal_alignment;vertical_alignment;font_color;background_color;scroll_status;scroll_direction;scroll_speed;link_data;jhi_on;off;type;content_id
1;sensor Savings Account;79593;83037;42885;8417;28364;false;Checking Account;navigating;payment Dynamic Generic;false;false;53942;76441;synthesize Secured;matrix Intelligent Wooden Gloves Cape Verde;16255;75607;92054;47029;43275;87056;Money Market Account impactful Consultant;5688
2;Fantastic Metal Pants interactive product;18779;82801;30198;60374;20308;false;Streamlined;Networked;connect Arkansas New Taiwan Dollar;false;true;99185;45535;alarm;Investment Account Wooden deposit;94456;31040;50477;68047;35797;16349;Director Producer South Africa;78825
3;Rustic Secured Object-based;99488;33338;6661;63598;60657;true;Fantastic Wooden Salad;Motorway Home Loan Account;distributed North Carolina USB;true;true;87780;38581;Investment Account supply-chains Legacy;Berkshire Stravenue;90610;65498;16667;46587;64608;55462;Kwanza;33823
4;Ohio Stand-alone;75127;54929;96246;19863;52065;false;Lake complexity;metrics asynchronous heuristic;Ergonomic;false;true;1389;29630;indigo monetize teal;Latvian Lats Shoes Tennessee;70572;1448;44105;60379;95369;57102;connecting;58119
5;Car Auto Loan Account panel;50066;15417;38135;47838;3867;true;Arizona Ball;Plastic Shoal Pizza;Generic Personal Loan Account Cotton;false;true;95171;53792;Table;Arkansas iterate radical;60970;8822;38874;45639;39557;19567;Small;53927
6;Producer;54456;53301;89194;54180;37799;false;Generic;Money Market Account;TCP;false;true;26388;77381;Grocery payment Nicaragua;calculate;60518;19596;14136;10039;12967;15391;Lithuanian Litas;44709
7;Ohio;20677;74378;33756;89136;36238;false;program Texas Oregon;Indiana;SSL;false;false;22366;97211;ivory feed;Dynamic;63336;20867;73729;99829;20800;65568;deploy users;56771
8;white;72526;77537;27026;71686;22558;true;USB;static;Executive parse Alabama;false;true;63808;21769;Granite;parse tan Berkshire;96009;26521;87186;61580;12362;47468;United States of America collaboration Money Market Account;41154
9;hack THX;34513;80618;62529;30481;77678;true;array;Pakistan Rupee;monitor;false;false;77266;14269;schemas Savings Account;Berkshire Quality-focused;73869;47713;13804;87974;59318;35270;withdrawal protocol;5789
10;Fresh Electronics;47;15618;26563;33002;43116;true;system Rubber;Locks View payment;Planner PCI;false;true;30625;56601;Steel SDD Technician;yellow wireless;8810;49047;39627;45039;55955;70997;implement real-time;24064
