id;name;owner;created_date;expiry_date;description
1;contextually-based Home Loan Account Books;Stand-alone;relationships Refined Frozen Table Infrastructure;Assimilated Center;alarm Kansas utilize
2;Checking Account Engineer;exploit system e-services;synthesize;Sleek redefine digital;Pre-emptive
3;Guadeloupe invoice;optical;Berkshire Alley revolutionary;robust solution;mobile
4;Buckinghamshire;Enhanced turquoise;Brand neural;Fresh Corners;Buckinghamshire Azerbaijanian Manat
5;Research open-source;Kwacha multi-byte;iterate Intelligent Radial;cohesive Fiji Dollar Washington;Faroe Islands ADP e-business
6;South Dakota Up-sized Lead;Gloves Intelligent Cotton Cheese Savings Account;Concrete product USB;input;port Small Fresh Keyboard
7;quantifying;Buckinghamshire Mouse parsing;Optimization bandwidth;Technician;next-generation
8;Small Rubber Soap open architecture withdrawal;Pants invoice invoice;Liberia task-force;Cambridgeshire Computer impactful;lime
9;Throughway Metal calculating;Soft Ball Ecuador;Plastic;Ergonomic Rubber Bike archive vortals;Towels online Georgia
10;Practical;Prairie;European Unit of Account 9(E.U.A.-9) schemas local;Springs Metal program;salmon connect
